Test,TestId,Type,Item,Message,Data,Path
BASEGAMEVER,2,"Unknown","","No applicable items found for test Base Game Version (BASEGAMEVER)",,"",
BLOCKSCAT,2,"Unknown","","No applicable items found for test Blocks Catalog (BLOCKSCAT)",,"",
CBFG,1,"Test success","","Beta Features completed successfully",,"",
CDWORLDDATA,2,"Unknown","","No applicable items found for test Custom Dimension World Data Validation (CDWORLDDATA)",,"",
CHECKFEATUREDEPRECATION,2,"Unknown","","No applicable items found for test Feature Deprecation (CHECKFEATUREDEPRECATION)",,"",
CHKMANIF,1,"Test success","","Manifest Validation completed successfully",,"",
COMJSON,1,"Test success","","Community JSON Schema Validation completed successfully",,"",
COMJSON,1119,"Info","","Behavior pack animation is not at a current format version (is at 1.10.0)",,"/behavior_packs/shiroha7_dogeui/animations/sheepomelon.bp_anims.json",
COMJSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/biceson.animation.json",
COMJSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/frost_moose.animation.json",
COMJSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/nardolphle.animation.json",
COMJSON,1128,"Info","","Animation is not at a current format version (is at 1.8.0)",,"/resource_packs/shiroha7_dogeui/animations/sheepomelon.animation.json",
CPACKICON,1,"Test success","","Pack Icon completed successfully",,"",
CPARTI,1,"Test success","","Particle Identifiers completed successfully",,"",
CROSSREFINDEX,2,"Unknown","","No applicable items found for test Cross-Reference Index (CROSSREFINDEX)",,"",
CSPJ,1,"Test success","","Skin Pack Validation completed successfully",,"",
CWI,1,"Test success","","World Icons completed successfully",,"",
ENTITYTYPE,1,"Test success","","Entity Type completed successfully",,"",
EXPFLAG,2,"Unknown","","No applicable items found for test Experimental Flags (EXPFLAG)",,"",
FORBFILE,1,"Test success","","Forbidden Files completed successfully",,"",
FORMATVER,1,"Test success","","Format Version completed successfully",,"",
FORMATVER,216,"Recommendation","","Resource animation version (1.8.0) has a lower minor version number compared to the expected version (1.10.0) or its previous minor version",,"/resource_packs/shiroha7_dogeui/animations/biceson.animation.json",
FORMATVER,216,"Recommendation","","Resource animation version (1.8.0) has a lower minor version number compared to the expected version (1.10.0) or its previous minor version",,"/resource_packs/shiroha7_dogeui/animations/frost_moose.animation.json",
FORMATVER,216,"Recommendation","","Resource animation version (1.8.0) has a lower minor version number compared to the expected version (1.10.0) or its previous minor version",,"/resource_packs/shiroha7_dogeui/animations/nardolphle.animation.json",
FORMATVER,216,"Recommendation","","Resource animation version (1.8.0) has a lower minor version number compared to the expected version (1.10.0) or its previous minor version",,"/resource_packs/shiroha7_dogeui/animations/sheepomelon.animation.json",
FORMATVER,256,"Recommendation","","Spawn rules version (1.8.0) has a lower minor version number compared to the expected version (1.12.0) or its previous minor version",,"/behavior_packs/shiroha7_dogeui/spawn_rules/biceson.json",
FORMATVER,256,"Recommendation","","Spawn rules version (1.8.0) has a lower minor version number compared to the expected version (1.12.0) or its previous minor version",,"/behavior_packs/shiroha7_dogeui/spawn_rules/frost_moose.json",
FORMATVER,256,"Recommendation","","Spawn rules version (1.8.0) has a lower minor version number compared to the expected version (1.12.0) or its previous minor version",,"/behavior_packs/shiroha7_dogeui/spawn_rules/nardolphle.json",
FORMATVER,256,"Recommendation","","Spawn rules version (1.8.0) has a lower minor version number compared to the expected version (1.12.0) or its previous minor version",,"/behavior_packs/shiroha7_dogeui/spawn_rules/sheepomelon.json",
FORMATVER,296,"Recommendation","","Entity type resource version (1.8.0) has a lower minor version number compared to the expected version (1.26.30) or its previous minor version",,"/resource_packs/shiroha7_dogeui/entity/biceson.entity.json",
FORMATVER,296,"Recommendation","","Entity type resource version (1.8.0) has a lower minor version number compared to the expected version (1.26.30) or its previous minor version",,"/resource_packs/shiroha7_dogeui/entity/frost_moose.entity.json",
FORMATVER,296,"Recommendation","","Entity type resource version (1.8.0) has a lower minor version number compared to the expected version (1.26.30) or its previous minor version",,"/resource_packs/shiroha7_dogeui/entity/nardolphle.entity.json",
FORMATVER,296,"Recommendation","","Entity type resource version (1.10.0) has a lower minor version number compared to the expected version (1.26.30) or its previous minor version",,"/resource_packs/shiroha7_dogeui/entity/sheepomelon.entity.json",
